1001,jane,PA,6.75,Laminate,100.00,1.75,2.10,175.00,210.00,25.99,410.99
1002,bob,IN,6.00,Tile,10000.00,3.50,4.15,35000.00,41500.00,4590.00,81090.00
1004,J,PA,6.75,Laminate,345.00,1.75,2.10,603.75,724.50,89.66,1417.91
1005,1234,PA,6.75,Laminate,100000.00,1.75,2.10,175000.00,210000.00,25987.50,410987.50
1006,Bob,PA,6.75,Laminate,2.00,1.75,2.10,3.50,4.20,0.52,8.22
1007,Ward,PA,6.75,Laminate,100.00,1.75,2.10,175.00,210.00,25.99,410.99
1008,BOb,PA,6.75,Laminate,100.00,1.75,2.10,175.00,210.00,25.99,410.99
1009,Zoe,IN,6.00,Wood,200.00,5.15,4.75,1030.00,950.00,118.80,2098.80
1010,wards,PA,6.75,Laminate,100.00,1.75,2.10,175.00,210.00,25.99,410.99
1011,James,PA,6.75,Laminate,100.00,1.75,2.10,175.00,210.00,25.99,410.99
1012,Kkk,PA,6.75,Laminate,1000.00,1.75,2.10,1750.00,2100.00,259.88,4109.88
1013,Bob,PA,6.75,Laminate,1345.00,1.75,2.10,2353.75,2824.50,349.53,5527.78
1014,test ,PA,6.75,Laminate,1456.00,1.75,2.10,2548.00,3057.60,378.38,5983.98
1015,Smashley,PA,6.75,Tile,987.00,3.50,4.15,3454.50,4096.05,509.66,8060.21
1016,Greg,PA,6.75,Tile,987.00,3.50,4.15,3454.50,4096.05,509.66,8060.21
1017,Jane,PA,6.75,Laminate,1000.00,1.75,2.10,1750.00,2100.00,259.88,4109.88
